cv_id,organization,position,status,startDate,endDate,linkedin
60,DHBW Stuttgart,Dozent DHBW Stuttgart,ACTIVE,2019-02,,
60,Hofmeister,Kfm. Leiter/Prokurist,ACTIVE,2015-04,,https://www.linkedin.com/company/hofmeister-dienstleistungs-gmbh
61,ROiOS,Mitbegründer und Geschäftsführer,ACTIVE,2025-03,,https://www.linkedin.com/company/roios
61,Self-employed,Systemischer Coach und Organisationsberater,ACTIVE,2023-07,,
63,Veeva Systems,Data Researcher,ACTIVE,2017-07,,https://www.linkedin.com/company/veeva-systems
64,Harvard,MD PhD MBA MMSc,ACTIVE,2009,,
68,Trackeen,Co-Fundador & Lead Developer,ACTIVE,2024-05,,https://www.linkedin.com/company/trackeen
70,Rail Construction Equipment Co.,Sales Manager,ACTIVE,1991-01,,
71,Kalmar,"Director, Digital Services Business",ACTIVE,2025-02,,https://www.linkedin.com/company/kalmar
72,Der-Astrid-Hartmann-Prozess,Unternehmensinhaber,ACTIVE,2000-02,,
73,Calandlyceum Amsterdam,Docent lichamelijke opvoeding,ACTIVE,2020-09,,https://www.linkedin.com/company/calandlyceum-amsterdam
73,Dansschool Ponne,Dans trainer / coach,ACTIVE,2017-09,,
74,ams OSRAM,Marketing Engineer,ACTIVE,2020-04,,https://www.linkedin.com/company/osram
75,Brandt Schokoladen GmbH + Co. KG,Technischer Leiter,ACTIVE,2024-12,,https://www.linkedin.com/company/brandt-zwieback-schokoladen
76,Credit Suisse,Senior Advisor to the CS Pension Fund in Switzerland,ACTIVE,2024-09,,https://www.linkedin.com/company/credit-suisse
76,European Patent Office,Board Member of the Supervisory Board of RFPSS,ACTIVE,2018-01,,https://www.linkedin.com/company/european-patent-office
77,DR. JOHANNES HEIDENHAIN GmbH,Gruppenleiter HR KPI & Reporting,ACTIVE,2024-07,,
79,thyssenkrupp Materials Schweiz AG,CEO,ACTIVE,2013-11,,https://www.linkedin.com/company/thyssenkrupp-materials-schweiz
79,thyssenkrupp Materials Schweiz AG,CEO,ACTIVE,2013-09,,https://www.linkedin.com/company/thyssenkrupp-materials-schweiz
80,L'éléfàn,Responsable développement projets,ACTIVE,2018-03,,https://www.linkedin.com/company/l'éléfàn
81,TDC NET,Transformation Partner,ACTIVE,2024-01,,https://www.linkedin.com/company/tdcnet
82,Mirai Solutions GmbH,"Executive Partner, Senior Software Engineer",ACTIVE,2011-01,,https://www.linkedin.com/company/mirai-solutions-gmbh
83,Welthungerhilfe,Secretary General/CEO Welthungerhilfe,ACTIVE,2018-09,,https://www.linkedin.com/company/welthungerhilfe
